id,name,bio,house
0,Regulus Arcturus Black,Brother of Sirius. Used to be a Death Eater but defected.,slytherin
1,Sirius Black,Best friend of James Potter and godfather of Harry.,gryffindor
2,Lavender Brown,Killed by a werewolf. She was a gryffindor student who dated Ron. ,gryffindor
3,Cho Chang,Ravenclaw student who dated Cedric Diggory and Harry Potter.,ravenclaw
4,Vincent Crabbe Sr.,Father of Crabbe and death-eater who escaped Azkaban.,slytherin
5,Vincent Crabbe,Slytherin student who was best friends with Goyle and followed Draco.,slytherin
6,"Bartemius ""Barty"" Crouch Sr.",Head of the department of Internation Magical Cooperation. Killed by his son.,slytherin
7,"Bartemius ""Barty"" Crouch Jr.",Death Eater who impersonated Alastor Moody.,slytherin
8,Fleur Delacour,Participated in the Triwizard tournament and married Bill Weasley.,none
9,Cedric Diggory,Participated in the Triwizard tournament and got killed by Voldemort.,hufflepuff
10,Alberforth Dumbledore,Albus' brother and owner of Hog's Head.,gryffindor
11,Albus Dumbledore,Headmaster of Hogwards killed by Snape.,gryffindor
12,Dudley Dursley,Muggle son of Vernon and Petunia and first-cousin of Harry.,none
13,Petunia Dursley,Harry's aunt and sister of Lily.,none
14,Vernon Dursley,Harry's muggle uncle.,none
15,Argus Filch,Squib caretake of Hogwards.,none
16,Seamus Finnigan,Harry's friend and member of Dumbledore's army.,gryffindor
17,Nicolas Flamel,Creator of the Philosopher's Stone.,none
18,Cornelius Fudge,Minister of Magic that was forced to resign.,slytherin
19,Goyle Sr.,Death Eater and father of Gregory Goyle.,slytherin
20,Gregory Goyle,Best friend of Crabbe. Slytherin student and dies by falling into Fiendfyre.,slytherin
21,Hermione Granger,One of Harry's best friend and marries Ron Weasley.,gryffindor
22,Rubeus Hagrid,Half-giant who loves Harry. He was the keeper of Keys and Grounds at Hogwards.,gryffindor
23,Igor Karkaroff,Highmaster of Durmstrang and reformed death-eater.,none
24,Viktor Krum,Participant in the Triwizard tournament. Dated Hermione.,none
25,Bellatrix Lestrange,Death Eater who was killed by Molly Weasley.,slytherin
26,Alice Longbottom,Mother of Neville who was tortured by Bellatrix.,gryffindor
27,Frank Longbottom,Father of Neville who was tortured by Bellatrix.,gryffindor
28,Neville Longbottom,Gryffindor student who was a member of Dumbledore's army.,gryffindor
29,Luna Lovegood,Ravenclaw student who was a member of Dumbledore's army.,ravenclaw
30,Xenophilius Lovegood,Father of Luna and editor of The Quibbler.,ravenclaw
31,Remus Lupin,Friend of James Potter and werewolf. He married Nymphadora.,gryffindor
32,Draco Malfoy,Slytherin student who had many arguments with Harry.,slytherin
33,Lucius Malfoy,Father of Draco and influential Death-Eater.,slytherin
34,Narcissa Malfoy,Mother of Draco and sister of Bellatrix.,slytherin
35,Olympe Maxime,Half-giantess and headmistress of Beauxbatons.,none
36,Minerva McGonagall,Professor of Transfiguration and head of Gryffindor.,gryffindor
37,"Alastor ""Mad-Eye"" Moody",Retired auror and member of the order of the Phoenix. Killed by Voldemort.,none
38,Peter Pettigrew,Betrays James and Lily Potter. Follower of Voldemort.,gryffindor
39,Harry Potter,The boy who lived. Main character of the series.,gryffindor
40,James Potter,Father of Harry. Murdered by Voldemort.,gryffindor
41,Lily Potter,Mother of Harry. Murdered by Voldemort.,gryffindor
42,Quirinus Quirrell,Possessed by Voldemort. Defence against the Dark Arts professor.,ravenclaw
43,Tom Riddle Sr.,Muggle father of Voldemort who was killed by him.,none
44,Mary Riddle,Muggle mother of Voldemort who was killed by him.,none
45,Lord Voldemort,The antagonist of the series who murdered many.,slytherin
46,Rita Skeeter,Reporter at the Daily Prophet.,slytherin
47,Severus Snape,Head of the Slytherin house and saved Harry in many occasions.,slytherin
48,Nymphadora Tonks,Married Remus Lupin and was killed by Bellatrix.,hufflepuff
49,Dolores Janes Umbridge,Senior undersecretary to the Ministry of Magic. Eventually sent to Azkaban.,slytherin
50,Arthur Weasley,Father of the Weasleys and member of the Order of the Phoenix.,gryffindor
51,Bill Weasley,Oldest son of Arthur and Molly. Husband of Fleur. ,gryffindor
52,Charlie Weasley,Second son of Arthur and Molly. Works with dragons in Romania.,gryffindor
53,Fred Weasley,Identical twin with George and co-owner of Weasleys' Wizard Wheezes,gryffindor
54,George Weasley,Identical twin with Fred and co-owner of Weasleys' Wizard Wheezes,gryffindor
55,Ginny Weasley,Marries Harry Potter and only daughter of Molly and Arthur.,gryffindor
56,Molly Weasley,Wife of Arthur and mother of the Weasleys. Kills Bellatrix.,gryffindor
57,Percy Weasley,Third son of Arthur and Molly. He is a Gryffindor prefect.,gryffindor
58,Ron Weasley,Harry's best friend. Marries Hermione.,gryffindor
59,Dobby,House elf and friend of Harry. He is killed by Bellatrix.,none
60,Fluffy,Three-headed dog belonging to Rubeus Hagrid.,none
61,Hedwig,Harry's owl.,none
62,Moaning Myrtle,Ghost at Hogwards.,ravenclaw
63,Aragog,Acromantula belonging to Rubeus Hagrid.,none
64,Grawp,Giant-half brother of Hagrid.,none